last_name, first_name,player_id,year,b_total_pa,b_total_hits,b_home_run,b_k_percent,xbadiff,solidcontact_percent,hard_hit_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,
Diaz, Aledmys,649557,2022,327,74,12,16.2,-0.018,5.9,36.8,52.4,45.3,33.5,21.3,
Urias, Luis,649966,2022,472,97,16,21.0,.001,5.4,35.3,43.2,42.3,34,23.7,
Arraez, Luis,650333,2022,603,173,8,7.1,.028,5.7,30.2,42.9,28.4,41.2,30.4,
Jimenez, Eloy,650391,2022,327,86,16,22.0,.029,8.5,54.9,49.8,30.4,45.1,24.6,
Torres, Gleyber,650402,2022,572,135,24,22.6,.013,8.5,45.3,49.6,35.9,35.4,28.7,
Castro, Willi,650489,2022,392,88,8,20.9,-0.020,4.2,31.4,58.2,32.1,40.4,27.5,
Diaz, Yandy,650490,2022,558,140,9,10.8,.008,8.9,49,41.3,29,37.9,33.1,
De La Cruz, Bryan,650559,2022,355,83,13,25.4,-0.035,6.2,47.3,49.2,38.7,40.3,21,
Rengifo, Luis,650859,2022,511,129,17,15.5,.010,4.9,33.6,55.7,38.7,44.8,16.5,
Chapman, Matt,656305,2022,621,123,27,27.4,-0.005,8.8,51.2,41.7,44.8,36.5,18.8,
Chavis, Michael,656308,2022,426,92,14,29.6,.012,6.1,38.7,57.7,38.7,40.1,21.1,
Hoskins, Rhys,656555,2022,672,145,30,25.1,.007,5.9,44.3,41.9,45,32.3,22.6,
Joe, Connor,656582,2022,467,96,7,20.8,-0.003,3.9,33.8,40.4,36.4,39.6,24,
Mullins II, Cedric,656775,2022,672,157,16,18.8,.026,5.9,37.3,51.3,41.8,33.2,25,
Rivera, Emmanuel,656896,2022,359,77,12,23.1,-0.005,6,38.3,50.1,39.1,34.7,26.2,
Schwarber, Kyle,656941,2022,669,126,46,29.9,-0.019,8.7,54.4,40.6,42.5,37.7,19.8,
Smith, Pavin,656976,2022,277,54,9,24.2,.004,3.3,35.9,39.5,38.1,35.4,26.5,
Thomas, Lane,657041,2022,548,120,17,24.1,.019,5.7,34.5,44.1,41.8,34.8,23.5,
Verdugo, Alex,657077,2022,644,166,11,13.4,.002,7.6,38.2,45.3,30.4,41.5,28.1,
Laureano, Ramon,657656,2022,383,73,13,27.2,-0.008,4.1,38.4,46.4,41.3,32.2,26.4,
Sheets, Gavin,657757,2022,410,91,15,21.0,.017,6.1,36.1,47.7,38.4,36.7,24.8,
Moncada, Yoan,660162,2022,433,84,12,26.3,-0.008,6.3,37.5,47.1,34.7,41.1,24.2,
Ohtani, Shohei,660271,2022,666,160,34,24.2,-0.005,5.6,49.8,49.3,36,36.2,27.8,
Castillo, Diego,660636,2022,283,54,11,26.5,-0.018,8.4,38.7,43.7,40.8,36.1,23,
Acuna Jr., Ronald,660670,2022,533,124,15,23.6,-0.006,6.1,49.7,47.9,40.4,39.5,20.1,
Ruiz, Keibert,660688,2022,433,99,7,11.5,-0.026,7.5,32.3,50.9,49.6,34.6,15.9,
Gonzalez, Oscar,660757,2022,382,107,11,19.6,.017,4.8,40.1,59.3,38.8,39.8,21.5,
Yepez, Juan,660766,2022,274,64,12,22.3,.037,5.6,33.7,54.5,42.9,37.2,19.9,
Sanchez, Jesus,660821,2022,343,67,13,26.8,-0.012,3.2,40.5,47.8,41.9,30.6,27.5,
Contreras, William,661388,2022,376,93,20,27.7,.035,4.7,46.6,44.6,36.6,41.8,21.6,
Varsho, Daulton,662139,2022,592,125,27,24.5,.021,8.4,35.6,50.6,50.9,32.1,17,
Nootbaar, Lars,663457,2022,347,66,14,20.5,-0.019,4.9,46,39.2,43.8,34.4,21.9,
Hoerner, Nico,663538,2022,517,135,10,11.0,.011,4.7,33.5,49.2,33.6,35.2,31.2,
Riley, Austin,663586,2022,693,168,38,24.2,.002,8.4,50.8,51.5,39.2,36.4,24.4,
Mountcastle, Ryan,663624,2022,609,139,22,25.3,-0.027,4.7,46.3,56.2,32.1,37.5,30.4,
Hayes, Ke'Bryan,663647,2022,560,123,7,21.8,-0.006,6.2,46.8,43.3,26,40.5,33.5,
Tucker, Kyle,663656,2022,609,140,30,15.6,-0.005,10.2,42.4,52.7,41.9,34.8,23.3,
India, Jonathan,663697,2022,431,96,10,21.8,.011,4.5,28.8,41.3,44.2,34.6,21.2,
Bart, Joey,663698,2022,291,56,11,38.5,.005,6,43,47.2,51.7,24.8,23.5,
Raleigh, Cal,663728,2022,415,78,27,29.4,-0.005,8.7,43.5,52.6,45.8,32,22.1,
Grisham, Trent,663757,2022,524,83,17,28.6,-0.020,5.8,35.5,38.7,43.5,31.6,24.8,
Vierling, Matt,663837,2022,357,80,6,19.6,-0.033,7.7,47.1,44.6,28.4,42.5,29.1,
Rivas III, Alfonso,663845,2022,287,59,3,30.3,.016,3,35.3,42,32.3,38.3,29.3,
Rodgers, Brendan,663898,2022,581,140,13,17.4,.001,5.6,45.9,49.4,27.4,38.5,34.1,
Lowe, Nathaniel,663993,2022,645,179,27,22.8,.027,5.2,44.8,52.2,30.7,40.8,28.5,
Happ, Ian,664023,2022,641,155,17,23.2,.032,6.5,40.4,49,40,34.6,25.5,
France, Ty,664034,2022,613,151,20,15.3,.012,5,36.7,52.5,35.5,35.1,29.4,
Lowe, Brandon,664040,2022,266,52,8,22.9,-0.016,4.6,38.9,53.3,38.3,39.4,22.3,
Bader, Harrison,664056,2022,313,73,5,19.8,.016,5.6,26.3,48,34.5,46.1,19.4,
Moore, Dylan,664238,2022,255,46,6,29.4,.022,7.6,36.4,38.7,38.6,37.1,24.2,
Straw, Myles,664702,2022,596,118,0,14.6,-0.015,4.8,26.5,40.5,24,39.4,36.6,
Isbel, Kyle,664728,2022,278,54,5,27.0,-0.009,7.1,44.6,46.3,47.3,32.6,20.1,
Bohm, Alec,664761,2022,631,164,13,17.4,-0.010,6,43,51.2,30.2,39.1,30.7,
Wade Jr., LaMonte,664774,2022,251,45,8,20.3,-0.014,5.9,34.3,44.8,38.5,39.1,22.5,
Brown, Seth,664913,2022,555,115,25,26.3,-0.021,5.4,41.4,48.3,40.3,36.1,23.7,
McCarthy, Jake,664983,2022,354,91,8,21.5,.034,3.2,33.7,53.1,34.9,41,24.1,
