last_name, first_name,player_id,year,b_total_pa,launch_angle_avg,
Rosario, Amed,642708,2021,588,5.5,
Adames, Willy,642715,2021,555,16.8,
Gutierrez, Kelvin,642721,2021,295,2.3,
Alcantara, Sergio,642727,2021,255,10.5,
Estrada, Thairo,642731,2021,132,6.7,
Leyba, Domingo,642736,2021,96,13.8,
Wynns, Austin,642851,2021,139,10.7,
Benintendi, Andrew,643217,2021,538,15.4,
Cooper, Garrett,643265,2021,250,8.2,
Craig, Will,643269,2021,65,2.8,
Dubon, Mauricio,643289,2021,187,14.9,
Jansen, Danny,643376,2021,205,20.5,
Kemp, Tony,643393,2021,397,18.4,
Kiner-Falefa, Isiah,643396,2021,677,5.4,
Long Jr., Shed,643418,2021,121,1.7,
McNeil, Jeff,643446,2021,426,12,
Schwindel, Frank,643524,2021,259,12.6,
Tauchman, Mike,643565,2021,191,10,
Chang, Yu,644374,2021,251,19.1,
Alcantara, Sandy,645261,2021,64,-37.5,
Albies, Ozzie,645277,2021,686,21.1,
Robles, Victor,645302,2021,369,19.9,
Ford, Mike,645801,2021,72,15.6,
Devers, Rafael,646240,2021,664,13.1,
Naylor, Josh,647304,2021,250,9,
Toro, Abraham,647351,2021,375,13.7,
Diaz, Aledmys,649557,2021,319,13.6,
Urias, Luis,649966,2021,570,14.2,
Diaz, Lewin,650331,2021,128,20.7,
Arraez, Luis,650333,2021,479,9.9,
Jimenez, Eloy,650391,2021,231,8.4,
Torres, Gleyber,650402,2021,516,14.2,
Castro, Willi,650489,2021,450,11.4,
Diaz, Yandy,650490,2021,541,6.6,
De La Cruz, Bryan,650559,2021,219,11.1,
Rengifo, Luis,650859,2021,190,11.7,
Pozo, Yohel,650968,2021,77,14.6,
Adams, Riley,656180,2021,120,11.7,
Bradley, Bobby,656252,2021,279,12,
Chapman, Matt,656305,2021,622,18.6,
Chavis, Michael,656308,2021,124,8.1,
Diaz, Isan,656371,2021,278,9.6,
Ellis, Drew,656403,2021,83,23.1,
Hill, Derek,656537,2021,150,9.2,
Hilliard, Sam,656541,2021,238,12,
Hoskins, Rhys,656555,2021,443,21.7,
Jackson, Alex,656577,2021,151,20.7,
Joe, Connor,656582,2021,211,14.6,
Luplow, Jordan,656669,2021,193,23.1,
McKinstry, Zach,656716,2021,172,13.7,
Mullins II, Cedric,656775,2021,675,14.8,
O'Hearn, Ryan,656811,2021,254,14.3,
Peters, DJ,656847,2021,240,16.4,
Rivera, Emmanuel,656896,2021,98,7.2,
Schwarber, Kyle,656941,2021,471,15.4,
Smith, Pavin,656976,2021,545,9,
Thomas, Lane,657041,2021,264,12.3,
Tucker, Cole,657061,2021,131,8.5,
Verdugo, Alex,657077,2021,604,7.7,
White, Evan,657108,2021,104,19.6,
Alvarez, Eddy,657193,2021,74,13.4,
Webb, Logan,657277,2021,53,14.1,
O'Grady, Brian,657434,2021,61,21.5,
DeJong, Paul,657557,2021,402,16.4,
Laureano, Ramon,657656,2021,378,11.9,
Sheets, Gavin,657757,2021,179,11.7,
Fuentes, Joshua,658069,2021,284,18.3,
Olivares, Edward,658668,2021,111,7.9,
Moncada, Yoan,660162,2021,616,11.3,
Ohtani, Shohei,660271,2021,639,16.6,
Tsutsugo, Yoshi,660294,2021,262,17.1,
Arauz, Jonathan,660620,2021,75,17.3,
Hernandez, Yonny,660634,2021,166,4.1,
Acuna Jr., Ronald,660670,2021,360,18.2,
Ruiz, Keibert,660688,2021,96,18.6,
Sanchez, Jesus,660821,2021,251,8.7,
Park, Hoy,660829,2021,150,15.8,
Contreras, William,661388,2021,185,8.2,
Varsho, Daulton,662139,2021,315,18,
Jones, Jahmai,663330,2021,72,19.5,
Nootbaar, Lars,663457,2021,124,12.1,
Hoerner, Nico,663538,2021,170,7.7,
Riley, Austin,663586,2021,662,14.2,
Madrigal, Nick,663611,2021,215,1.7,
Larnach, Trevor,663616,2021,301,13.1,
Mountcastle, Ryan,663624,2021,586,16.3,
McKenna, Ryan,663630,2021,197,11.6,
Hayes, Ke'Bryan,663647,2021,396,2.6,
Tucker, Kyle,663656,2021,567,17.6,
Cameron, Daz,663662,2021,115,11.9,
India, Jonathan,663697,2021,631,13.1,
Raleigh, Cal,663728,2021,148,17.1,
Grisham, Trent,663757,2021,527,12.3,
Vierling, Matt,663837,2021,77,6.3,
Stephenson, Tyler,663886,2021,402,7.4,
Williams, Luke,663897,2021,108,3.2,
Rodgers, Brendan,663898,2021,415,6.3,
Lowe, Nathaniel,663993,2021,642,5,
Happ, Ian,664023,2021,535,9.9,
France, Ty,664034,2021,650,11,
Lowe, Brandon,664040,2021,615,16.9,
Bader, Harrison,664056,2021,401,13.3,
Stevenson, Andrew,664057,2021,213,8.4,
Fletcher, David,664058,2021,665,8.2,
Haggerty, Sam,664059,2021,94,7.6,
Moore, Dylan,664238,2021,377,20.4,
Garlick, Kyle,664247,2021,107,20.1,
Straw, Myles,664702,2021,638,11.9,
Isbel, Kyle,664728,2021,83,19,
Bohm, Alec,664761,2021,417,5.6,
Wade Jr., LaMonte,664774,2021,381,19.8,
Tom, Ka'ai,664789,2021,133,9.5,
Mazeika, Patrick,664850,2021,87,12.2,
Zavala, Seby,664874,2021,104,16.2,
Mendick, Danny,664901,2021,186,13.7,
Brown, Seth,664913,2021,307,20.9,
McCarthy, Jake,664983,2021,70,2.3,
Walsh, Jared,665120,2021,585,7.6,
Maton, Nick,665155,2021,131,17.3,
Celestino, Gilberto,665482,2021,62,5.4,
Tatis Jr., Fernando,665487,2021,546,13.8,
Guerrero Jr., Vladimir,665489,2021,698,9.4,
Pache, Cristian,665506,2021,68,8,
Marchan, Rafael,665561,2021,56,17.5,
Soto, Juan,665742,2021,654,5.8,
Taveras, Leody,665750,2021,185,7,
Chisholm Jr., Jazz,665862,2021,507,9,
Gimenez, Andres,665926,2021,210,8.8,
Kirilloff, Alex,666135,2021,231,7,
Lux, Gavin,666158,2021,381,11.3,
Rortvedt, Ben,666163,2021,98,13.7,
Adell, Jo,666176,2021,140,9.9,
Bichette, Bo,666182,2021,690,7.3,
Carlson, Dylan,666185,2021,619,15.1,
Kieboom, Carter,666198,2021,249,7.4,
Trammell, Taylor,666211,2021,178,14.9,
Castro, Rodolfo,666801,2021,93,8.6,
Dalbec, Bobby,666915,2021,453,17.3,
Garcia, Adolis,666969,2021,622,14.7,
Gurriel Jr., Lourdes,666971,2021,541,10.5,
Rooker Jr., Brent,667670,2021,213,13.1,
Arozarena, Randy,668227,2021,604,7.6,
Barrera, Tres,668663,2021,107,11.2,
Rogers, Jake,668670,2021,127,26.9,
Baddoo, Akil,668731,2021,461,13.8,
Knizner, Andrew,668800,2021,185,7.8,
Reynolds, Bryan,668804,2021,646,13.4,
Rojas, Josh,668942,2021,550,8.4,
Marsh, Brandon,669016,2021,260,7.7,
Burnes, Corbin,669203,2021,59,-13.3,
Murphy, Sean,669221,2021,448,15.4,
Senzel, Nick,669222,2021,124,10.5,
Edman, Tommy,669242,2021,691,9.5,
Solak, Nick,669256,2021,511,7,
Smith, Will,669257,2021,501,19.4,
Johnson, Daniel,669288,2021,81,20.5,
Espinal, Santiago,669289,2021,246,13.1,
Hiura, Keston,669374,2021,197,16.3,
Hays, Austin,669720,2021,529,12.5,
Lopez, Nicky,670032,2021,565,2.8,
Raley, Luke,670042,2021,72,3.9,
Short, Zack,670097,2021,184,24.3,
Rojas, Jose,670351,2021,184,19,
Young, Andrew,670370,2021,104,13.3,
Alvarez, Yordan,670541,2021,598,14.1,
Paredes, Isaac,670623,2021,85,18,
Brosseau, Mike,670712,2021,169,18.2,
Walls, Taylor,670764,2021,176,12.2,
Garcia, Luis,671277,2021,247,4.1,
Kelenic, Jarred,672284,2021,377,14.4,
Kirk, Alejandro,672386,2021,189,14.7,
Marcano, Tucupita,672779,2021,50,-0.9,
Robert, Luis,673357,2021,296,13.8,
Akiyama, Shogo,673451,2021,183,1.9,
Kim, Ha-Seong,673490,2021,298,13.6,
Clement, Ernie,676391,2021,133,15,
Barrero, Jose,676480,2021,56,20.6,
Meyers, Jake,676694,2021,163,9.9,
Trejo, Alan,676701,2021,50,10.9,
McCormick, Chas,676801,2021,320,18.6,
Franco, Wander,677551,2021,308,9.7,
Duran, Jarren,680776,2021,112,7.8,
Jeffers, Ryan,680777,2021,293,14,
Miller, Owen,680911,2021,202,5.9,
Vaughn, Andrew,683734,2021,469,9.7,
Pujols, Albert,405395,2022,351,16.4,
Cabrera, Miguel,408234,2022,433,5,
Molina, Yadier,425877,2022,270,16.9,
Cano, Robinson,429664,2022,104,5.8,
Suzuki, Kurt,435559,2022,159,24.1,
Cruz Jr., Nelson,443558,2022,507,7.2,
Peralta, David,444482,2022,490,15.1,
Escobar, Alcides,444876,2022,131,15.7,
Longoria, Evan,446334,2022,298,18.2,
Blackmon, Charlie,453568,2022,577,12.4,
Maldonado, Martin,455117,2022,379,14.7,
Chirinos, Robinson,455139,2022,220,17.6,
Cain, Lorenzo,456715,2022,156,3.8,
Solano, Donovan,456781,2022,304,10.7,
McCutchen, Andrew,457705,2022,580,13.2,
Upton, Justin,457708,2022,57,26.5,
Turner, Justin,457759,2022,532,18.4,
Votto, Joey,458015,2022,376,14.2,
Andrus, Elvis,462101,2022,577,11.9,
Santana, Carlos,467793,2022,506,15.4,
Belt, Brandon,474832,2022,298,23.4,
Lowrie, Jed,476704,2022,184,16.3,
Brantley Jr., Michael,488726,2022,277,10.7,
Castro, Jason,488771,2022,88,10,
Gurriel, Yuli,493329,2022,584,14.6,
Rojas, Miguel,500743,2022,507,10.1,
Escobar, Eduardo,500871,2022,542,20.6,
Adrianza, Ehire,501303,2022,110,12.6,
Lagares, Juan,501571,2022,62,14.4,
Pham, Tommy,502054,2022,622,7.7,
Martinez, J.D.,502110,2022,596,14.1,
Goldschmidt, Paul,502671,2022,651,15.7,
Gonzalez, Marwin,503556,2022,207,19.4,
Leon, Sandy,506702,2022,86,21.4,
Altuve, Jose,514888,2022,604,16.1,
Hernandez, Cesar,514917,2022,617,9.3,
Segura, Jean,516416,2022,387,4.3,
Marte, Starling,516782,2022,505,7.5,
Culberson, Charlie,518586,2022,124,5.9,
d'Arnaud, Travis,518595,2022,426,11.8,
Donaldson, Josh,518626,2022,546,12,
Freeman, Freddie,518692,2022,708,13.6,
Grandal, Yasmani,518735,2022,376,12.1,
Heyward, Jason,518792,2022,151,13.1,
LeMahieu, DJ,518934,2022,541,3,
Moustakas, Mike,519058,2022,285,19.4,
Rizzo, Anthony,519203,2022,548,19.3,
Romine, Austin,519222,2022,136,9.5,
Stanton, Giancarlo,519317,2022,452,10.8,
Vogt, Stephen,519390,2022,191,21,
Perez, Salvador,521692,2022,473,17.8,
Flores, Wilmer,527038,2022,602,20.7,
Garcia, Avisail,541645,2022,380,2.8,
Bethancourt, Christian,542194,2022,333,9.4,
Ozuna, Marcell,542303,2022,507,16.5,
Villar, Jonathan,542340,2022,220,-0.7,
Ortega, Rafael,542364,2022,371,17.1,
Aguilar, Jesus,542583,2022,507,19.1,
