last_name, first_name,player_id,year,b_total_pa,hp_to_1b,
Greene, Riley,682985,2022,418,4.29,
Carroll, Corbin,682998,2022,115,4.05,
Henderson, Gunnar,683002,2022,132,4.19,
Stefanic, Michael,683021,2022,69,4.59,
Vaughn, Andrew,683734,2022,555,4.71,
Pasquantino, Vinnie,686469,2022,298,4.73,
Massey, Michael,686681,2022,194,4.47,
Grissom, Vaughn,687093,2022,156,4.47,
Pujols, Albert,405395,2021,296,5.15,
Cabrera, Miguel,408234,2021,526,5.01,
Rivera, Rene,425784,2021,78,4.78,
Wainwright, Adam,425794,2021,74,,
Molina, Yadier,425877,2021,473,4.92,
Suzuki, Kurt,435559,2021,247,4.92,
Cruz Jr., Nelson,443558,2021,584,4.69,
Peralta, David,444482,2021,538,4.38,
Pina, Manny,444489,2021,208,4.93,
Escobar, Alcides,444876,2021,349,4.37,
Longoria, Evan,446334,2021,291,4.7,
Morton, Charlie,450203,2021,62,,
Lester, Jon,452657,2021,51,,
Cabrera, Asdrubal,452678,2021,352,4.79,
Scherzer, Max,453286,2021,63,,
Blackmon, Charlie,453568,2021,582,4.33,
Maldonado, Martin,455117,2021,426,5.04,
Chirinos, Robinson,455139,2021,112,,
Cain, Lorenzo,456715,2021,286,4.37,
Solano, Donovan,456781,2021,344,4.57,
McCutchen, Andrew,457705,2021,574,4.37,
Upton, Justin,457708,2021,362,4.6,
Turner, Justin,457759,2021,612,4.78,
Posey III, Buster,457763,2021,454,4.84,
Votto, Joey,458015,2021,533,4.77,
Gardner, Brett,458731,2021,461,4.15,
Joyce, Matt,459964,2021,69,,
Romine, Andrew,461865,2021,64,,
Andrus, Elvis,462101,2021,541,4.53,
Sandoval, Pablo,467055,2021,86,,
Ramos, Wilson,467092,2021,163,5.03,
Santana, Carlos,467793,2021,659,4.7,
Parra, Gerardo,467827,2021,107,,
Mercer, Jordy,474568,2021,127,4.53,
Belt, Brandon,474832,2021,381,4.61,
Zimmerman, Ryan,475582,2021,273,4.52,
Lowrie, Jed,476704,2021,512,4.7,
Avila, Alex,488671,2021,111,,
Brantley Jr., Michael,488726,2021,508,4.65,
Castro, Jason,488771,2021,179,4.52,
Miley, Wade,489119,2021,59,,
Gurriel, Yuli,493329,2021,605,4.42,
Rojas, Miguel,500743,2021,539,4.56,
Escobar, Eduardo,500871,2021,599,4.34,
Adrianza, Ehire,501303,2021,209,4.43,
Lagares, Juan,501571,2021,327,4.45,
Almonte, Abraham,501659,2021,175,4.4,
Davis, Khris,501981,2021,114,4.95,
Pham, Tommy,502054,2021,561,4.54,
Martinez, J.D.,502110,2021,634,4.68,
Reddick, Josh,502210,2021,158,4.54,
Freeman, Mike,502273,2021,65,,
Dyson, Jarrod,502481,2021,149,4.26,
Goldschmidt, Paul,502671,2021,679,4.59,
Gonzalez, Marwin,503556,2021,307,4.5,
Darvish, Yu,506433,2021,55,,
Leon, Sandy,506702,2021,220,4.88,
Altuve, Jose,514888,2021,678,4.22,
Hernandez, Cesar,514917,2021,637,4.24,
Segura, Jean,516416,2021,567,4.33,
Castro, Starlin,516770,2021,346,4.61,
Marte, Starling,516782,2021,526,4.22,
Bumgarner, Madison,518516,2021,52,,
Culberson, Charlie,518586,2021,271,4.28,
d'Arnaud, Travis,518595,2021,229,4.71,
Donaldson, Josh,518626,2021,543,4.83,
Freeman, Freddie,518692,2021,695,4.43,
Grandal, Yasmani,518735,2021,375,5.08,
