last_name, first_name,player_id,year,p_formatted_ip,p_k_percent,p_bb_percent,f_strike_percent,
Wilson, Bryse,669060,2022,115.2,15.5,6.3,60.1,
Zimmermann, Bruce,669145,2022,73.2,15.3,3.8,65.9,
Heasley, Jonathan,669169,2022,104.0,15.1,10.1,55.9,
Burnes, Corbin,669203,2022,202.0,30.5,6.4,58.1,
Akin, Keegan,669211,2022,81.2,23.4,6.1,63.5,
Morgan, Eli,669212,2022,66.2,28.1,5.1,70.3,
Kuhnel, Joel,669270,2022,58.0,22.0,5.5,59.1,
Lee, Dylan,669276,2022,50.2,29.4,5.0,61,
Gilbert, Logan,669302,2022,185.2,22.7,6.4,63.7,
Wells, Tyler,669330,2022,103.2,18.0,6.6,61.9,
Skubal, Tarik,669373,2022,117.2,24.5,6.7,65,
Coleman, Dylan,669395,2022,68.0,24.6,12.8,54.3,
Lambert, Jimmy,669424,2022,47.0,22.1,11.8,61.8,
Rogers, Trevor,669432,2022,107.0,22.2,9.4,61.4,
Bieber, Shane,669456,2022,200.0,25.0,4.6,66,
Nelson, Kyle,669459,2022,37.0,19.9,9.3,57.6,
Liberatore, Matthew,669461,2022,34.2,17.4,11.2,53.4,
Pallante, Andre,669467,2022,108.0,16.0,8.8,60.2,
Long, Sam,669674,2022,42.1,18.2,7.7,61.3,
Snead, Kirby,669912,2022,44.2,16.7,10.5,64.3,
Alexander, Jason,669920,2022,71.2,14.3,8.7,64.2,
Kirby, George,669923,2022,130.0,24.5,4.1,67.7,
White, Mitch,669952,2022,99.0,17.7,8.0,60.5,
Festa, Matthew,670036,2022,54.0,29.2,8.2,60.3,
Oller, Adam,670124,2022,74.1,13.6,11.6,60.5,
Schreiber, John,670167,2022,65.0,28.8,7.4,55.6,
Winckowski, Josh,670174,2022,70.1,13.9,8.5,60.1,
Bednar, David,670280,2022,51.2,32.9,7.6,60.6,
Oviedo, Johan,670912,2022,56.0,22.3,9.5,59.9,
Richards, Trevor,670950,2022,64.0,29.2,12.5,53.6,
Ramirez, Yohan,670990,2022,37.1,19.2,12.0,57.2,
Foley, Jason,671345,2022,60.1,16.8,4.3,64.8,
Detmers, Reid,672282,2022,129.0,22.6,8.5,60.1,
Perez, Cionel,672335,2022,57.2,23.5,9.0,61.8,
Hernandez, Carlos,672578,2022,56.0,13.2,11.7,58.1,
Contreras, Roansy,672710,2022,95.0,21.1,9.6,60.8,
Adon, Joan,672851,2022,64.2,17.7,12.6,56.5,
Henry, Tommy,674072,2022,47.0,17.6,10.2,58.5,
Strider, Spencer,675911,2022,131.2,38.3,8.5,60.2,
Karinchak, James,675916,2022,39.0,38.8,13.1,55,
Howard, Spencer,675921,2022,37.2,17.9,8.4,58.1,
Snider, Collin,676092,2022,34.1,14.6,9.9,49,
Abbott, Cory,676265,2022,48.0,20.8,11.6,54.2,
Whitlock, Garrett,676477,2022,78.1,26.4,4.8,65.9,
