last_name, first_name,player_id,year,sl_avg_speed,sl_avg_break,ch_avg_speed,ch_avg_break,cu_avg_speed,cu_avg_break,si_avg_speed,si_avg_break,fc_avg_spin,fc_avg_break,fs_avg_speed,fs_avg_break,
Lopez, Reynaldo,625643,2022,87.4,8.5,85.9,15.5,80.4,12.6,,,,,,,
Iglesias, Raisel,628452,2022,84.1,10.9,88.7,17.4,,,94.8,19.7,,,,,
Marte, Yunior,628708,2022,86,5,90.9,13.3,,,96.9,19.5,,,,,
Urias, Julio,628711,2022,,,86.2,15.6,80.9,16.5,93.9,17.8,,,,,
Crowe, Wil,640444,2022,87.6,6.6,85.9,11.4,81.6,16.3,94.4,17.9,,,,,
Finnegan, Kyle,640448,2022,89,8.4,,,,,97,19.4,,,88.6,10.3,
Harvey, Hunter,640451,2022,86.7,3.8,,,82.8,14.3,96.7,21.3,,,89.4,11.8,
Manaea, Sean,640455,2022,81.4,6.3,84.9,15.1,77.1,12.2,91.2,18.3,,,,,
Puk, A.J.,640462,2022,86.9,4,89,16.6,,,96.1,18.8,,,,,
Lopez, Pablo,641154,2022,,,87.5,17.8,80.9,14.9,93.4,16.2,2228,6.6,,,
Alexander, Tyler,641302,2022,77.7,13.6,82.8,16.3,,,90.1,19.6,2349,10.3,,,
Baker, Bryan,641329,2022,,,84,18.2,,,,,2411,8.3,,,
Bickford, Phil,641360,2022,83.3,7.4,,,,,,,,,,,
Brogdon, Connor,641401,2022,,,83.8,18.7,,,,,2376,12.5,,,
Castano, Daniel,641447,2022,81.2,7.9,84,15.6,,,89.4,12.9,2388,7.3,,,
Cortes Jr., Nestor,641482,2022,77.1,16,82.9,14.5,72.4,15.1,90.8,19.1,2370,10.1,,,
Danish, Tyler,641501,2022,87.1,4,84.4,14.9,80.9,12.5,90.9,17.9,,,,,
Dunning, Dane,641540,2022,78.7,9.1,84,17.9,,,89.5,16.7,2158,9.6,,,
Foster, Matt,641582,2022,85.8,7.8,83.9,17.8,79.6,10.8,,,2258,18.8,,,
Gott, Trevor,641627,2022,,,90.2,15.1,82.7,14,95.1,18.7,2258,11.8,,,
Hudson, Dakota,641712,2022,87.8,5.5,86.5,14.8,80.5,9.1,91.9,14,,,,,
Jefferies, Daulton,641726,2022,,,86.1,16,80.2,6.5,92.5,20.9,2160,11.5,,,
Jimenez, Joe,641729,2022,84.8,4.1,90.7,18.7,,,,,,,,,
Keller, Brad,641745,2022,86.9,6.6,90,13.8,,,93.4,13.1,,,,,
Kuhl, Chad,641771,2022,86.5,4.5,87.9,15.6,79.5,16.7,92.8,17.7,,,,,
Lauer, Eric,641778,2022,86.7,6.7,87.2,17.5,78.2,10.6,,,2269,11.2,,,
Littell, Zack,641793,2022,87.9,7.3,,,,,,,,,85.6,8.9,
Mahle, Tyler,641816,2022,83.9,5.9,,,,,,,2397,10.6,85.4,17.7,
Mayza, Tim,641835,2022,88.6,4.7,,,,,93.7,19.4,,,,,
Ober, Bailey,641927,2022,82.9,6.1,84.3,18.4,76.7,14.3,,,,,,,
Pagan, Emilio,641941,2022,84.6,13.8,,,80.2,16.1,,,2363,5.6,88.4,15,
Trivino, Lou,642152,2022,81.9,17,87.4,16.3,76.8,14.6,95.8,18.8,2277,7.8,,,
Williams, Devin,642207,2022,,,83.4,19.3,,,,,2391,9.8,,,
Yarbrough, Ryan,642232,2022,,,78.6,17.7,71.3,16.7,86.7,18.4,2084,7,,,
Soto, Gregory,642397,2022,89.3,6.9,91.8,18.9,,,98.1,19.5,,,,,
Loaisiga, Jonathan,642528,2022,,,89.9,20.2,86.9,11.2,98,19.9,,,,,
Barria, Jaime,642545,2022,85.3,7.4,85,17.3,,,91.7,19.3,,,,,
Peralta, Freddy,642547,2022,80.3,10,85.9,15.3,75.9,6.9,,,,,,,
Bautista, Felix,642585,2022,85.2,5.9,,,,,,,1240,8.1,88.4,10.7,
Santana, Dennis,642701,2022,85.8,3.5,89.9,19.2,,,96.7,19.8,,,,,
Acevedo, Domingo,642758,2022,86.5,10.3,86.8,18.6,,,92.2,22.1,,,,,
Cimber, Adam,643256,2022,77.8,11.6,,,,,86.5,15.1,,,,,
Jax, Griffin,643377,2022,86.4,12,89.8,15.5,82.6,11.7,,,,,,,
Leiter Jr., Mark,643410,2022,79.4,13.9,84.2,8.6,73.2,18.5,90.9,17.9,2127,7.1,,,
Pruitt, Austin,643493,2022,87.5,6.5,86.2,15.9,80.9,13.5,,,,,,,
Rogers, Tyler,643511,2022,72.1,20.1,,,,,83.5,10.1,,,,,
Arano, Victor,644364,2022,84.8,3.5,,,,,93.9,19.7,,,,,
Alcantara, Sandy,645261,2022,90,4.2,91.8,17.3,86.2,3.8,97.8,19.3,,,,,
