last_name, first_name,player_id,year,b_total_pa,pop_2b_sba,
DeJong, Paul,657557,2022,237,,
Laureano, Ramon,657656,2022,383,,
Papierski, Michael,657709,2022,103,2.08,
Sheets, Gavin,657757,2022,410,,
Olivares, Edward,658668,2022,174,,
Moncada, Yoan,660162,2022,433,,
Ohtani, Shohei,660271,2022,666,,
Tsutsugo, Yoshi,660294,2022,193,,
Castillo, Diego,660636,2022,283,,
Brujan, Vidal,660644,2022,162,,
Garcia, Dermis,660650,2022,125,,
Acuna Jr., Ronald,660670,2022,533,,
Ruiz, Keibert,660688,2022,433,2,
Montero, Elehuris,660707,2022,185,,
Gonzalez, Oscar,660757,2022,382,,
Yepez, Juan,660766,2022,274,,
Sanchez, Jesus,660821,2022,343,,
Park, Hoy,660829,2022,60,,
Contreras, William,661388,2022,376,1.97,
Serven, Brian,661531,2022,205,2,
Varsho, Daulton,662139,2022,592,1.97,
Nootbaar, Lars,663457,2022,347,,
Nevin, Tyler,663527,2022,184,,
Hoerner, Nico,663538,2022,517,,
Riley, Austin,663586,2022,693,,
Madrigal, Nick,663611,2022,228,,
Larnach, Trevor,663616,2022,180,,
Mountcastle, Ryan,663624,2022,609,,
McKenna, Ryan,663630,2022,172,,
Hayes, Ke'Bryan,663647,2022,560,,
Tucker, Kyle,663656,2022,609,,
Cameron, Daz,663662,2022,70,,
India, Jonathan,663697,2022,431,,
Bart, Joey,663698,2022,291,1.97,
Raleigh, Cal,663728,2022,415,1.99,
Fortes, Nick,663743,2022,240,1.93,
Grisham, Trent,663757,2022,524,,
Vierling, Matt,663837,2022,357,,
Rivas III, Alfonso,663845,2022,287,,
Gonzalez, Romy,663853,2022,109,,
Stephenson, Tyler,663886,2022,183,1.94,
Williams, Luke,663897,2022,136,,
Rodgers, Brendan,663898,2022,581,,
Lowe, Nathaniel,663993,2022,645,,
Happ, Ian,664023,2022,641,,
Mathias, Mark,664029,2022,91,,
France, Ty,664034,2022,613,,
Lowe, Brandon,664040,2022,266,,
Bader, Harrison,664056,2022,313,,
Fletcher, David,664058,2022,228,,
Haggerty, Sam,664059,2022,201,,
Moore, Dylan,664238,2022,255,,
Garlick, Kyle,664247,2022,162,,
Lopez, Alejo,664670,2022,156,,
Straw, Myles,664702,2022,596,,
Isbel, Kyle,664728,2022,278,,
Higgins, P.J.,664731,2022,229,2.03,
Bohm, Alec,664761,2022,631,,
Wade Jr., LaMonte,664774,2022,251,,
Mazeika, Patrick,664850,2022,72,2.06,
Zavala, Seby,664874,2022,205,1.97,
Mendick, Danny,664901,2022,106,,
Brown, Seth,664913,2022,555,,
McCarthy, Jake,664983,2022,354,,
Clemens, Kody,665019,2022,127,,
Walsh, Jared,665120,2022,454,,
Maton, Nick,665155,2022,85,,
Pena, Jeremy,665161,2022,558,,
Celestino, Gilberto,665482,2022,347,,
Guerrero Jr., Vladimir,665489,2022,706,,
Pache, Cristian,665506,2022,260,,
Soto, Juan,665742,2022,664,,
Taveras, Leody,665750,2022,341,,
Cabrera, Oswaldo,665828,2022,171,,
Cruz, Oneil,665833,2022,361,,
Chisholm Jr., Jazz,665862,2022,241,,
Gimenez, Andres,665926,2022,557,,
Aranda, Jonathan,666018,2022,87,,
Jones, Nolan,666134,2022,94,,
Kirilloff, Alex,666135,2022,156,,
Lowe, Josh,666139,2022,198,,
Lux, Gavin,666158,2022,471,,
Moniak, Mickey,666160,2022,112,,
Adell, Jo,666176,2022,285,,
Beer, Seth,666179,2022,126,,
Benson, Will,666181,2022,61,,
Bichette, Bo,666182,2022,697,,
Carlson, Dylan,666185,2022,488,,
Trammell, Taylor,666211,2022,117,,
