last_name, first_name,player_id,year,b_total_pa,isolated_power,
Perdomo, Geraldo,672695,2022,500,.067,
Peraza, Oswald,672724,2022,57,.122,
Marcano, Tucupita,672779,2022,177,.100,
Robert, Luis,673357,2022,401,.142,
Kim, Ha-Seong,673490,2022,582,.132,
Suzuki, Seiya,673548,2022,446,.171,
Jung, Josh,673962,2022,102,.214,
Smith, Kevin,675656,2022,151,.122,
Velazquez, Nelson,676369,2022,206,.168,
Clement, Ernie,676391,2022,179,.025,
Burleson, Alec,676475,2022,53,.083,
Barrero, Jose,676480,2022,174,.055,
Contreras, Mark,676628,2022,61,.172,
Madris, Bligh,676632,2022,123,.088,
Meyers, Jake,676694,2022,160,.087,
Trejo, Alan,676701,2022,125,.153,
McCormick, Chas,676801,2022,407,.162,
MacKinnon, David,676950,2022,57,.000,
Franco, Wander,677551,2022,344,.140,
Rodriguez, Julio,677594,2022,560,.225,
Duran, Ezequiel,677649,2022,220,.130,
Thomas, Alek,677950,2022,411,.113,
Witt Jr., Bobby,677951,2022,632,.174,
Groshans, Jordan,677954,2022,65,.049,
Vargas, Miguel,678246,2022,50,.085,
Torkelson, Spencer,679529,2022,404,.117,
Vavra, Terrin,679631,2022,103,.079,
Palacios, Richie,680700,2022,123,.054,
Kwan, Steven,680757,2022,638,.101,
Duran, Jarren,680776,2022,223,.142,
Jeffers, Ryan,680777,2022,236,.156,
Burdick, Peyton,680814,2022,102,.174,
Miller, Owen,680911,2022,472,.108,
Donovan, Brendan,680977,2022,468,.097,
Stott, Bryson,681082,2022,466,.124,
Bride, Jonah,681146,2022,187,.043,
Carpenter, Kerry,681481,2022,113,.233,
Villar, David,681584,2022,181,.224,
Eaton, Nate,681987,2022,122,.123,
Abrams, CJ,682928,2022,302,.077,
Greene, Riley,682985,2022,418,.109,
Carroll, Corbin,682998,2022,115,.240,
Henderson, Gunnar,683002,2022,132,.181,
Stefanic, Michael,683021,2022,69,.033,
Vaughn, Andrew,683734,2022,555,.159,
Pasquantino, Vinnie,686469,2022,298,.155,
Massey, Michael,686681,2022,194,.133,
